{'text': '[Music]', 'start': 0.0, 'duration': 13.0}
{'text': 'to that but there is no benefit at all', 'start': 774.43, 'duration': 4.98}
{'text': 'to lying to people to say that evolution', 'start': 777.339, 'duration': 3.781}
{'text': "doesn't happen and that your magic", 'start': 779.41, 'duration': 3.27}
{'text': 'imaginary-friend proof things out of', 'start': 781.12, 'duration': 3.78}
{'text': 'nothing with magic words abracadabra I', 'start': 782.68, 'duration': 4.17}
{'text': "create as I speak that's where this guys", 'start': 784.9, 'duration': 3.33}
{'text': 'coming from you know where the odds only', 'start': 786.85, 'duration': 3.18}
{'text': 'benefit comes from that that Answers in', 'start': 788.23, 'duration': 3.3}
{'text': 'Genesis makes something on the order of', 'start': 790.03, 'duration': 3.99}
{'text': '20 million dollars a year by bilking', 'start': 791.53, 'duration': 4.11}
{'text': 'people to have much more money than they', 'start': 794.02, 'duration': 3.24}
{'text': "have cents that's where that comes from", 'start': 795.64, 'duration': 3.27}
{'text': 'stop promoting myths', 'start': 797.26, 'duration': 3.51}
{'text': "says the man who's literally sitting in", 'start': 798.91, 'duration': 3.57}
{'text': 'front of a magic boat and a talking', 'start': 800.77, 'duration': 3.84}
{'text': 'snake which is why they actually say in', 'start': 802.48, 'duration': 2.7}
{'text': 'the article', 'start': 804.61, 'duration': 2.07}
{'text': 'why do we keep trying to put what we', 'start': 805.18, 'duration': 3.03}
{'text': 'know about evolution in a system that', 'start': 806.68, 'duration': 4.65}
{'text': "wasn't built to reflected well because", 'start': 808.21, 'duration': 4.74}
{'text': "evolution won't fit into a system that", 'start': 811.33, 'duration': 3.39}
{'text': "was designed to reflect God's creation", 'start': 812.95, 'duration': 3.87}
{'text': "it wasn't designed to reflect God's", 'start': 814.72, 'duration': 4.14}
{'text': 'creation it was thought that it would', 'start': 816.82, 'duration': 4.41}
{'text': 'carolus linnaeus created the concept of', 'start': 818.86, 'duration': 4.38}
{'text': 'taxonomy he thinking that he was going', 'start': 821.23, 'duration': 4.8}
{'text': "to identify created Kant's in a sense he", 'start': 823.24, 'duration': 4.74}
{'text': 'was taking the phylogeny challenge but', 'start': 826.03, 'duration': 4.44}
{'text': 'what he found instead did not reflect', 'start': 827.98, 'duration': 4.77}
{'text': 'created cons the fact that he could not', 'start': 830.47, 'duration': 4.14}
{'text': 'distinguish humans from apes that they', 'start': 832.75, 'duration': 4.47}
{'text': 'were in his mind the same thing that', 'start': 834.61, 'duration': 4.4}
{'text': 'biologically they are the same thing', 'start': 837.22, 'duration': 3.66}
{'text': 'indistinguishable from each other does', 'start': 839.01, 'duration': 4.12}
{'text': 'not fit creation so he was the one who', 'start': 840.88, 'duration': 4.5}
{'text': 'originated the phylogeny challenge he', 'start': 843.13, 'duration': 4.41}
{'text': 'came up with a quandary he could not', 'start': 845.38, 'duration': 4.17}
{'text': 'answer because he was a pre Darwinian', 'start': 847.54, 'duration': 3.42}
{'text': 'creationist and we had to wait another', 'start': 849.55, 'duration': 3.6}
{'text': 'century for Darwin to come along to', 'start': 850.96, 'duration': 3.96}
{'text': 'answer the dilemma that Linnaeus had', 'start': 853.15, 'duration': 4.14}
{'text': "discovered so since I don't think", 'start': 854.92, 'duration': 3.81}
{'text': "they're gonna get to it and go over it", 'start': 857.29, 'duration': 3.3}
{'text': 'what are some of the shortcomings in the', 'start': 858.73, 'duration': 4.65}
{'text': 'Linnaean system that requires that', 'start': 860.59, 'duration': 4.38}
{'text': 'necessitates kind of a shift to this', 'start': 863.38, 'duration': 4.05}
{'text': 'Philo code system well because Linnaean', 'start': 864.97, 'duration': 4.83}
{'text': 'taxonomy has made a number of mistakes', 'start': 867.43, 'duration': 4.71}
{'text': 'in the way that it is constructed some', 'start': 869.8, 'duration': 3.69}
{'text': 'things and as I said you know like with', 'start': 872.14, 'duration': 2.58}
{'text': 'the example of the cheetah and the', 'start': 873.49, 'duration': 3.12}
{'text': "Cougar there's actually several there's", 'start': 874.72, 'duration': 4.47}
{'text': 'only so much that you can do classifying', 'start': 876.61, 'duration': 4.41}
{'text': 'organisms by their morphology on', 'start': 879.19, 'duration': 3.93}
{'text': "occasion you'll have where a morphology", 'start': 881.02, 'duration': 4.14}
{'text': 'implies that maybe these two are more', 'start': 883.12, 'duration': 3.51}
{'text': 'closely related than these other ones', 'start': 885.16, 'duration': 3.24}
{'text': 'but the thing that that does it that', 'start': 886.63, 'duration': 4.35}
{'text': 'makes phylogenetics twin nested is that', 'start': 888.4, 'duration': 4.65}
{'text': "it's based initially in in morphology", 'start': 890.98, 'duration': 4.53}
{'text': "and then it's also backed by embryology", 'start': 893.05, 'duration': 4.02}
{'text': 'because you embryology provides its', 'start': 895.51, 'duration': 3.69}
{'text': 'whole nother overlapping scheme where', 'start': 897.07, 'duration': 4.11}
{'text': 'you can chart embryology to match the', 'start': 899.2, 'duration': 4.98}
{'text': 'same tree very rarely very rarely we you', 'start': 901.18, 'duration': 4.95}
{'text': 'get at a difference where the embryology', 'start': 904.18, 'duration': 3.75}
{'text': "doesn't match and that's that implicitly", 'start': 906.13, 'duration': 3.15}
{'text': 'means you need to go to something that', 'start': 907.93, 'duration': 3.33}
{'text': 'is more hard coded something that will', 'start': 909.28, 'duration': 3.75}
{'text': "prove the point and that's where you get", 'start': 911.26, 'duration': 4.02}
{'text': 'into genetics so when you use the you', 'start': 913.03, 'duration': 4.71}
{'text': 'know genome comparisons if you find an', 'start': 915.28, 'duration': 4.53}
{'text': 'ortholog and this is how we verified', 'start': 917.74, 'duration': 3.93}
{'text': 'that like for example it was determined', 'start': 919.81, 'duration': 4.2}
{'text': 'that aardvarks and anteaters and', 'start': 921.67, 'duration': 4.05}
{'text': 'pangolins because they were all', 'start': 924.01, 'duration': 4.5}
{'text': 'toothless and they all eat ants so this', 'start': 925.72, 'duration': 4.2}
{'text': 'must have been the commonality that they', 'start': 928.51, 'duration': 3.12}
{'text': 'had a common ancestor who lost their', 'start': 929.92, 'duration': 3.51}
{'text': 'teeth and had to eat ants as a necessity', 'start': 931.63, 'duration': 4.41}
{'text': 'and so they developed into aardvarks and', 'start': 933.43, 'duration': 4.56}
{'text': 'had eaters and penguins a reasonably', 'start': 936.04, 'duration': 3.09}
{'text': 'fair assessment except', 'start': 937.99, 'duration': 3.12}
{'text': 'for the fact that pangolins are way more', 'start': 939.13, 'duration': 4.02}
{'text': 'primal than that but when they get the', 'start': 941.11, 'duration': 3.42}
{'text': 'genome back they discover that these are', 'start': 943.15, 'duration': 3.05}
{'text': 'three different groups that just', 'start': 944.53, 'duration': 4.77}
{'text': 'coincidentally convergently lost their', 'start': 946.2, 'duration': 4.6}
{'text': 'teeth and had to eat ants their', 'start': 949.3, 'duration': 3.15}
{'text': 'biological relationship is that', 'start': 950.8, 'duration': 3.69}
{'text': "aardvarks are afrotheria pnes they're", 'start': 952.45, 'duration': 3.3}
{'text': 'actually more closely related to', 'start': 954.49, 'duration': 3.42}
{'text': 'elephants but then they are too ant', 'start': 955.75, 'duration': 4.83}
{'text': 'eaters and likewise the pangolins', 'start': 957.91, 'duration': 4.92}
{'text': 'strangely turned out to be more closely', 'start': 960.58, 'duration': 4.92}
{'text': 'related to carnivores than to ant eaters', 'start': 962.83, 'duration': 4.92}
{'text': 'and anteaters ours in our thorns which', 'start': 965.5, 'duration': 4.41}
{'text': 'are a South American derivative so the', 'start': 967.75, 'duration': 4.08}
{'text': 'early mammals branched into into two', 'start': 969.91, 'duration': 3.3}
{'text': 'directions and then each of those two', 'start': 971.83, 'duration': 3.27}
{'text': 'branches branched into two more we can', 'start': 973.21, 'duration': 3.42}
{'text': 'verify this through the genome these are', 'start': 975.1, 'duration': 4.38}
{'text': 'not assumptions these are verified fact', 'start': 976.63, 'duration': 3.69}
{'text': 'now if you want about talk about', 'start': 979.48, 'duration': 3.12}
{'text': 'assumptions look at Answers in Genesis', 'start': 980.32, 'duration': 4.41}
{'text': "that's all they have and they will not", 'start': 982.6, 'duration': 4.44}
{'text': 'question those science has to make', 'start': 984.73, 'duration': 4.5}
{'text': 'assumptions but then test them you know', 'start': 987.04, 'duration': 3.9}
{'text': 'when Lamarck comes up with his idea well', 'start': 989.23, 'duration': 3.12}
{'text': "maybe that's a good idea thank you for", 'start': 990.94, 'duration': 2.58}
{'text': "thinking that now let's test that", 'start': 992.35, 'duration': 3.12}
{'text': "assumption nope doesn't work Darwin", 'start': 993.52, 'duration': 3.36}
{'text': "comes up with one let's test that one", 'start': 995.47, 'duration': 3.6}
{'text': 'hey that works over and over and over', 'start': 996.88, 'duration': 4.86}
{'text': 'time again every possible test all the', 'start': 999.07, 'duration': 4.8}
{'text': 'evidence we ever find everything always', 'start': 1001.74, 'duration': 5.07}
{'text': 'only ever backs that up and we have an', 'start': 1003.87, 'duration': 4.92}
{'text': 'artificial system like carolus linnaeus', 'start': 1006.81, 'duration': 4.2}
{'text': "comes up with taxonomy and he doesn't", 'start': 1008.79, 'duration': 4.05}
{'text': 'think that new species can evolve that', 'start': 1011.01, 'duration': 3.84}
{'text': "he devises a system that doesn't allow", 'start': 1012.84, 'duration': 4.95}
{'text': "for evolution and so when we know can't", 'start': 1014.85, 'duration': 5.52}
{'text': 'prove that this does happen then we need', 'start': 1017.79, 'duration': 4.26}
{'text': 'a system that can accommodate that fact', 'start': 1020.37, 'duration': 4.05}
{'text': 'am I also right in thinking that the', 'start': 1022.05, 'duration': 5.49}
{'text': 'rigid seven-layer system is kind of', 'start': 1024.42, 'duration': 4.56}
{'text': "restrictive that it's better to have a", 'start': 1027.54, 'duration': 4.049}
{'text': 'flexible number of groups is that yeah', 'start': 1028.98, 'duration': 3.87}
{'text': "that's a very important point that you", 'start': 1031.589, 'duration': 3.151}
{'text': 'bring up so it was realized early on', 'start': 1032.85, 'duration': 4.71}
{'text': 'that there are way more classifications', 'start': 1034.74, 'duration': 4.74}
{'text': 'within that than just the seven I mean', 'start': 1037.56, 'duration': 4.56}
{'text': 'within human lineage alone we have at', 'start': 1039.48, 'duration': 7.08}
{'text': 'least seven D not 770 well named clades', 'start': 1042.12, 'duration': 6.209}
{'text': 'that we sit into and those are just the', 'start': 1046.56, 'duration': 3.12}
{'text': "ones with names because there's quite a", 'start': 1048.329, 'duration': 2.941}
{'text': "lot of them that don't have names we", 'start': 1049.68, 'duration': 4.02}
{'text': 'just use names as like a signpost so', 'start': 1051.27, 'duration': 3.54}
{'text': "that we don't get lost", 'start': 1053.7, 'duration': 4.38}
{'text': 'hmm the Tree of Life is so enormous that', 'start': 1054.81, 'duration': 4.77}
{'text': 'most people have no concept of how big', 'start': 1058.08, 'duration': 3.33}
{'text': "it is it's almost like mapping synapses", 'start': 1059.58, 'duration': 3.75}
{'text': "in the brain it's just really freaking", 'start': 1061.41, 'duration': 3.3}
{'text': 'huge so when you think about just', 'start': 1063.33, 'duration': 3.09}
{'text': "seventy named clades people we're trying", 'start': 1064.71, 'duration': 3.84}
{'text': 'to add to that seven layer system to add', 'start': 1066.42, 'duration': 4.56}
{'text': 'an info order or a sub order or', 'start': 1068.55, 'duration': 4.08}
{'text': 'parvorder oh yeah just come up with all', 'start': 1070.98, 'duration': 2.67}
{'text': 'these different names to subdivide', 'start': 1072.63, 'duration': 3.66}
{'text': 'everything and until they realize why', 'start': 1073.65, 'duration': 4.59}
{'text': 'are we doing this because what is an', 'start': 1076.29, 'duration': 3.96}
{'text': "order on this level does isn't an order", 'start': 1078.24, 'duration': 3.18}
{'text': 'on this level what is if you have the', 'start': 1080.25, 'duration': 3.24}
{'text': 'families are not all even divisions', 'start': 1081.42, 'duration': 4.83}
{'text': "right so realizing that let's just scrap", 'start': 1083.49, 'duration': 4.92}
{'text': 'the whole system and we can keep some of', 'start': 1086.25, 'duration': 4.05}
{'text': 'the names again as signposts so that', 'start': 1088.41, 'duration': 3.48}
{'text': "people don't get lost that's the only", 'start': 1090.3, 'duration': 4.08}
{'text': "adherence we'll have to thread it on and", 'start': 1091.89, 'duration': 5.4}
{'text': "then beyond that we'll have clades and", 'start': 1094.38, 'duration': 4.41}
{'text': 'the clades will represent everything', 'start': 1097.29, 'duration': 3.27}
{'text': 'that descends from that just say what I', 'start': 1098.79, 'duration': 3.24}
{'text': 'just said before you know you have DFO', 'start': 1100.56, 'duration': 3.54}
{'text': 'but if a whale and a snake we both know', 'start': 1102.03, 'duration': 4.32}
{'text': 'that their ancestors had legs we have', 'start': 1104.1, 'duration': 4.35}
{'text': 'fossils for both that had legs', 'start': 1106.35, 'duration': 5.13}
{'text': 'so those things remain tetrapods even if', 'start': 1108.45, 'duration': 3.84}
{'text': "they don't have the physical", 'start': 1111.48, 'duration': 3.12}
{'text': 'characteristics anymore their ancestry', 'start': 1112.29, 'duration': 4.44}
{'text': 'demands that they be classified as', 'start': 1114.6, 'duration': 3.63}
{'text': 'tetrapods and they will always be', 'start': 1116.73, 'duration': 3.27}
{'text': 'tetrapods even if they never have legs', 'start': 1118.23, 'duration': 5.31}
{'text': "again okay that we've used for since the", 'start': 1120.0, 'duration': 6.03}
{'text': '1700s they said well these ranks are', 'start': 1123.54, 'duration': 4.44}
{'text': 'ultimately human constructs and often', 'start': 1126.03, 'duration': 3.9}
{'text': 'rely on subjective criteria which can', 'start': 1127.98, 'duration': 3.69}
{'text': 'lead to confusion and instability and', 'start': 1129.93, 'duration': 3.72}
{'text': "I'm like and the Philo code isn't", 'start': 1131.67, 'duration': 4.95}
{'text': "exactly the final code isn't and there's", 'start': 1133.65, 'duration': 4.62}
{'text': "a there's an illustration of this it's", 'start': 1136.62, 'duration': 3.51}
{'text': 'quite beautiful they plugged three', 'start': 1138.27, 'duration': 4.44}
{'text': 'thousand genomes into a computer system', 'start': 1140.13, 'duration': 5.07}
{'text': "computer doesn't have any biases it", 'start': 1142.71, 'duration': 4.14}
{'text': "doesn't have any religion it doesn't", 'start': 1145.2, 'duration': 4.92}
{'text': "have any intent of design so there's not", 'start': 1146.85, 'duration': 5.28}
{'text': 'going to be any arbitrary constructs it', 'start': 1150.12, 'duration': 3.99}
{'text': 'is basically doing a genetic paternity', 'start': 1152.13, 'duration': 3.63}
{'text': 'test on all of the genomes that it puts', 'start': 1154.11, 'duration': 3.3}
{'text': "in so it's gonna file them all as to", 'start': 1155.76, 'duration': 3.93}
{'text': 'what belongs in what subcategories what', 'start': 1157.41, 'duration': 4.23}
{'text': 'what belongs at what parent categories', 'start': 1159.69, 'duration': 3.18}
{'text': "and which one's belong closest together", 'start': 1161.64, 'duration': 3.81}
{'text': 'so you feed three thousand genomes in', 'start': 1162.87, 'duration': 4.89}
{'text': 'and it produces a tumbleweed', 'start': 1165.45, 'duration': 4.47}
{'text': "of life the taxonomic tree that isn't", 'start': 1167.76, 'duration': 3.96}
{'text': 'that vast circled which really does look', 'start': 1169.92, 'duration': 3.51}
{'text': 'a bit like a tumbleweed but this was a', 'start': 1171.72, 'duration': 4.52}
{'text': 'computer doing this so it is not', 'start': 1173.43, 'duration': 5.58}
{'text': "arbitrary it's not by you know", 'start': 1176.24, 'duration': 5.26}
{'text': 'assumptions these are the facts of the', 'start': 1179.01, 'duration': 4.68}
{'text': 'data and even a computer will work that', 'start': 1181.5, 'duration': 3.93}
{'text': 'out and a computer will work that out it', 'start': 1183.69, 'duration': 3.21}
{'text': "doesn't have any choice in the matter", 'start': 1185.43, 'duration': 3.42}
{'text': "it doesn't want to render it this way", 'start': 1186.9, 'duration': 6.03}
{'text': 'this is the way it really is a change', 'start': 1188.85, 'duration': 5.76}
{'text': 'evolutionary trees I would be a', 'start': 1192.93, 'duration': 3.99}
{'text': 'millionaire on the other hand if my', 'start': 1194.61, 'duration': 3.99}
{'text': 'income was based on the number of times', 'start': 1196.92, 'duration': 4.05}
{'text': 'creationists incorporated new data into', 'start': 1198.6, 'duration': 4.53}
{'text': "their models I'd be living in a box on a", 'start': 1200.97, 'duration': 4.6}
{'text': 'sidewalk somewhere', 'start': 1203.13, 'duration': 4.39}
{'text': 'they have had to change the evolutionary', 'start': 1205.57, 'duration': 3.69}
{'text': 'tree a few times for the reasons that', 'start': 1207.52, 'duration': 3.15}
{'text': "I've just given but everything she's", 'start': 1209.26, 'duration': 3.12}
{'text': 'talking about leading to confusion and', 'start': 1210.67, 'duration': 3.78}
{'text': 'all of that to tens of thousands of', 'start': 1212.38, 'duration': 3.78}
{'text': 'Christian denominations violently', 'start': 1214.45, 'duration': 3.0}
{'text': "conflicting with each other and that's", 'start': 1216.16, 'duration': 3.12}
{'text': 'just one religion out of many and these', 'start': 1217.45, 'duration': 4.349}
{'text': 'people are denying of all most of other', 'start': 1219.28, 'duration': 4.41}
{'text': 'Christianity remember that there are', 'start': 1221.799, 'duration': 4.561}
{'text': 'educated Christians Francis Crick and', 'start': 1223.69, 'duration': 4.95}
{'text': 'Robert T Bakker and Kenneth Miller', 'start': 1226.36, 'duration': 4.02}
{'text': 'Francis Collins of the director of the', 'start': 1228.64, 'duration': 3.24}
{'text': 'Human Genome Project these are all', 'start': 1230.38, 'duration': 3.48}
{'text': 'educated Christians who know and can', 'start': 1231.88, 'duration': 4.169}
{'text': 'show the facts of the matter and how', 'start': 1233.86, 'duration': 4.199}
{'text': 'that does not support the young Earth', 'start': 1236.049, 'duration': 3.51}
{'text': 'Creationism nonsense but we know that', 'start': 1238.059, 'duration': 3.0}
{'text': 'they know that right', 'start': 1239.559, 'duration': 3.36}
{'text': 'Ken Ham has already come out and', 'start': 1241.059, 'duration': 3.421}
{'text': 'admitted that he is seeing the evidence', 'start': 1242.919, 'duration': 4.201}
{'text': 'he simply rejects it he knows that there', 'start': 1244.48, 'duration': 5.16}
{'text': 'is evidence that dinosaurs had like', 'start': 1247.12, 'duration': 4.559}
{'text': 'brain cancer and so forth he may be but', 'start': 1249.64, 'duration': 4.2}
{'text': 'but how could that be if everything was', 'start': 1251.679, 'duration': 4.441}
{'text': 'created good and he said many times he', 'start': 1253.84, 'duration': 4.469}
{'text': 'describes it as God glasses but', 'start': 1256.12, 'duration': 3.51}
{'text': 'psychologists refer to it as', 'start': 1258.309, 'duration': 3.661}
{'text': 'confirmation bias where he simply', 'start': 1259.63, 'duration': 4.95}
{'text': 'ignores all the evidence that is against', 'start': 1261.97, 'duration': 4.74}
{'text': "him because he's gonna believe what he", 'start': 1264.58, 'duration': 4.08}
{'text': 'wants to believe pretty much every', 'start': 1266.71, 'duration': 3.209}
{'text': 'single show we have a few articles that', 'start': 1268.66, 'duration': 2.91}
{'text': 'say evolution is rewritten by this', 'start': 1269.919, 'duration': 3.811}
{'text': 'brand-new discovery it happens almost', 'start': 1271.57, 'duration': 7.109}
{'text': 'every single time sadly blue shirt is', 'start': 1273.73, 'duration': 7.17}
{'text': "right about that and I've criticized the", 'start': 1278.679, 'duration': 4.5}
{'text': 'sensationalism of the media a number of', 'start': 1280.9, 'duration': 5.1}
{'text': 'times in on stage and on video because', 'start': 1283.179, 'duration': 5.161}
{'text': "it's true that every time we have a new", 'start': 1286.0, 'duration': 5.58}
{'text': 'discovery that reaffirms the status quo', 'start': 1288.34, 'duration': 6.06}
{'text': 'the reporter will always say that it', 'start': 1291.58, 'duration': 4.56}
{'text': 'causes scientists to question their', 'start': 1294.4, 'duration': 4.56}
{'text': 'theories and rewrites history very often', 'start': 1296.14, 'duration': 4.86}
{'text': "they're exactly what we predicted and I", 'start': 1298.96, 'duration': 3.42}
{'text': 'can think of a number of examples where', 'start': 1301.0, 'duration': 3.36}
{'text': 'they what they found was predicted', 'start': 1302.38, 'duration': 4.89}
{'text': 'decades earlier it exactly fit what we', 'start': 1304.36, 'duration': 4.8}
{'text': "were already looking for didn't cause us", 'start': 1307.27, 'duration': 4.529}
{'text': "to rewrite anything but you can't sell", 'start': 1309.16, 'duration': 3.48}
{'text': 'newspapers', 'start': 1311.799, 'duration': 3.301}
{'text': "if you don't sensationalize and so", 'start': 1312.64, 'duration': 4.14}
{'text': "that's what the news reporters are doing", 'start': 1315.1, 'duration': 3.329}
{'text': "that's why you don't ever want to get", 'start': 1316.78, 'duration': 4.11}
{'text': 'your science from the mainstream media I', 'start': 1318.429, 'duration': 4.38}
{'text': 'mean never write always look up the', 'start': 1320.89, 'duration': 3.63}
{'text': 'original story in the peer-reviewed', 'start': 1322.809, 'duration': 3.391}
{'text': 'articles because very often the', 'start': 1324.52, 'duration': 3.06}
{'text': 'reporters will tell you that the study', 'start': 1326.2, 'duration': 2.58}
{'text': 'says something the study does not', 'start': 1327.58, 'duration': 5.16}
{'text': 'actually say about increased clarity and', 'start': 1328.78, 'duration': 5.55}
{'text': "it's not going to change that much and", 'start': 1332.74, 'duration': 3.63}
{'text': "I'm thinking do you understand", 'start': 1334.33, 'duration': 4.29}
{'text': "like what what you're basing this off of", 'start': 1336.37, 'duration': 3.63}
{'text': "are you I mean they have to be they've", 'start': 1338.62, 'duration': 2.79}
{'text': 'been working on this for 20 years so', 'start': 1340.0, 'duration': 2.73}
{'text': "certainly they're aware of it but I", 'start': 1341.41, 'duration': 2.46}
{'text': "think it's just kind of sweeping it", 'start': 1342.73, 'duration': 3.51}
{'text': 'under the rug so they can continue these', 'start': 1343.87, 'duration': 4.35}
{'text': 'evolutionary ideas this is the person', 'start': 1346.24, 'duration': 4.59}
{'text': "who's defending Barrowman ology talking", 'start': 1348.22, 'duration': 4.68}
{'text': 'about how actual biologists using', 'start': 1350.83, 'duration': 3.27}
{'text': 'genetic orthologs', 'start': 1352.9, 'duration': 4.26}
{'text': 'are somehow sweeping talking snakes and', 'start': 1354.1, 'duration': 5.34}
{'text': 'donkeys and magic spells and golems and', 'start': 1357.16, 'duration': 6.33}
{'text': 'such under the rug really I looked up a', 'start': 1359.44, 'duration': 5.52}
{'text': 'quote from Linnaeus about creation and', 'start': 1363.49, 'duration': 2.94}
{'text': 'the order of things and Linnaeus said', 'start': 1364.96, 'duration': 3.42}
{'text': 'this the earth creation is a glory of', 'start': 1366.43, 'duration': 3.84}
{'text': 'God as seen from the works of nature by', 'start': 1368.38, 'duration': 3.66}
{'text': 'man alone the study of nature would', 'start': 1370.27, 'duration': 3.51}
{'text': "reveal the divine order of God's", 'start': 1372.04, 'duration': 4.47}
{'text': 'creation oh that more scientists would', 'start': 1373.78, 'duration': 4.83}
{'text': 'speak like that today except that this', 'start': 1376.51, 'duration': 5.82}
{'text': "isn't 1735 we've learned things since", 'start': 1378.61, 'duration': 7.26}
{'text': 'then why was the classification of pongo', 'start': 1382.33, 'duration': 6.599}
{'text': 'created it was created to arbitrarily', 'start': 1385.87, 'duration': 5.25}
{'text': 'divide chimpanzees gorillas and', 'start': 1388.929, 'duration': 4.081}
{'text': 'orangutans from humans so they set up', 'start': 1391.12, 'duration': 4.74}
{'text': 'and all of them except for us category', 'start': 1393.01, 'duration': 4.44}
{'text': "that was what Pongo was and if you're", 'start': 1395.86, 'duration': 2.73}
{'text': "going to admit that it's all of them", 'start': 1397.45, 'duration': 2.67}
{'text': "except for us then that's a Freudian", 'start': 1398.59, 'duration': 3.27}
{'text': 'admission that you already know we are', 'start': 1400.12, 'duration': 3.21}
{'text': "part of that group and that you've just", 'start': 1401.86, 'duration': 3.75}
{'text': 'set this up artificially so some twenty', 'start': 1403.33, 'duration': 5.01}
{'text': 'years ago again the genome verifies we', 'start': 1405.61, 'duration': 4.08}
{'text': 'are more closely related to chimpanzees', 'start': 1408.34, 'duration': 3.36}
{'text': 'and gorillas collectively than they are', 'start': 1409.69, 'duration': 4.2}
{'text': 'two orangutans and we are more closely', 'start': 1411.7, 'duration': 4.95}
{'text': 'related to gorillas than gorillas are to', 'start': 1413.89, 'duration': 3.27}
{'text': 'baboons', 'start': 1416.65, 'duration': 2.07}
{'text': 'so we understand this genetically and', 'start': 1417.16, 'duration': 3.63}
{'text': 'they knew a lot of that Thomas Huxley', 'start': 1418.72, 'duration': 5.91}
{'text': 'was arguing that in the 1860s so we have', 'start': 1420.79, 'duration': 6.03}
{'text': 'to go with what the information entails', 'start': 1424.63, 'duration': 4.65}
{'text': 'Answers in Genesis has to go with the', 'start': 1426.82, 'duration': 4.53}
{'text': 'fairy tale regardless of the evidence', 'start': 1429.28, 'duration': 3.57}
{'text': "and we know that that's the case because", 'start': 1431.35, 'duration': 3.209}
{'text': "Answers in Genesis hasn't made in their", 'start': 1432.85, 'duration': 4.32}
{'text': 'statement of faith that no amount of', 'start': 1434.559, 'duration': 5.521}
{'text': 'evidence of any kind from any field can', 'start': 1437.17, 'duration': 5.37}
{'text': 'ever be accepted if it contradicts the', 'start': 1440.08, 'duration': 4.5}
{'text': 'fairy tale and when when they have', 'start': 1442.54, 'duration': 3.3}
{'text': 'scientists with it because they do hire', 'start': 1444.58, 'duration': 3.36}
{'text': 'actual scientists to work there but the', 'start': 1445.84, 'duration': 4.41}
{'text': 'scientists have to sign they have to', 'start': 1447.94, 'duration': 4.17}
{'text': 'reaffirm that same oath and that they', 'start': 1450.25, 'duration': 4.44}
{'text': 'will support the fable of biblical', 'start': 1452.11, 'duration': 5.55}
{'text': 'literalism regardless what the facts are', 'start': 1454.69, 'duration': 5.28}
{'text': 'no matter what they can never concede', 'start': 1457.66, 'duration': 5.58}
{'text': 'that Genesis got anything wrong ever it', 'start': 1459.97, 'duration': 4.709}
{'text': "doesn't matter how often it gets things", 'start': 1463.24, 'duration': 3.15}
{'text': "wrong it doesn't matter how egregiously", 'start': 1464.679, 'duration': 2.821}
{'text': "it gets this wrong it doesn't matter how", 'start': 1466.39, 'duration': 3.389}
{'text': 'kantak the error is they can never', 'start': 1467.5, 'duration': 4.679}
{'text': 'admit it it is the most dishonest', 'start': 1469.779, 'duration': 4.291}
{'text': 'position that is possible to have except', 'start': 1472.179, 'duration': 3.06}
{'text': 'for the fact that they are admitting', 'start': 1474.07, 'duration': 2.729}
{'text': "that they will never admit when they're", 'start': 1475.239, 'duration': 1.8}
{'text': 'wrong', 'start': 1476.799, 'duration': 1.92}
{'text': 'though they are wrong they just never', 'start': 1477.039, 'duration': 2.97}
{'text': "won't ever admit it and they admit to", 'start': 1478.719, 'duration': 3.51}
{'text': "filling with that or that they won't", 'start': 1480.009, 'duration': 4.62}
{'text': 'admit that okay all right', 'start': 1482.229, 'duration': 4.83}
{'text': 'did life emerge in the primordial soup', 'start': 1484.629, 'duration': 5.61}
{'text': 'via DNA or RNA a surprising answer here', 'start': 1487.059, 'duration': 11.18}
{'text': 'you go Brian from new research Ryan yeah', 'start': 1490.239, 'duration': 9.99}
{'text': "evolution don't like to deal with origin", 'start': 1498.239, 'duration': 3.16}
{'text': "of life issues they'd rather deal with", 'start': 1500.229, 'duration': 3.12}
{'text': "what happened after that okay they don't", 'start': 1501.399, 'duration': 3.78}
{'text': 'typically even deal with this well since', 'start': 1503.349, 'duration': 3.841}
{'text': 'the scientific field of biological', 'start': 1505.179, 'duration': 5.31}
{'text': 'evolution is a subset of biology those', 'start': 1507.19, 'duration': 5.609}
{'text': 'you would call evolutionists are really', 'start': 1510.489, 'duration': 4.831}
{'text': 'biologists now origin of life research', 'start': 1512.799, 'duration': 5.55}
{'text': 'is more the domain of chemistry or some', 'start': 1515.32, 'duration': 5.309}
{'text': "overlap with biochemistry but it's an", 'start': 1518.349, 'duration': 4.17}
{'text': 'entirely different field different', 'start': 1520.629, 'duration': 4.35}
{'text': 'specialty a different discipline George', 'start': 1522.519, 'duration': 4.65}
{'text': "is complaining that biologists aren't", 'start': 1524.979, 'duration': 4.38}
{'text': 'typically doing chemistry a critique', 'start': 1527.169, 'duration': 3.93}
{'text': 'like complaining that Shakespeare', 'start': 1529.359, 'duration': 3.54}
{'text': "typically didn't make his own ink or", 'start': 1531.099, 'duration': 3.87}
{'text': "paper or that chefs typically don't", 'start': 1532.899, 'duration': 4.35}
{'text': 'smelt their own pans or the few', 'start': 1534.969, 'duration': 3.991}
{'text': 'professional baseball players stitch', 'start': 1537.249, 'duration': 5.22}
